Lon,Lat,Time
-97.65611174537406,31.049877299816156,2024-04-05T05:26:22Z
-97.65604715371778,31.05005297052283,2024-04-05T05:26:23Z
-97.65598357046426,31.0502299089588,2024-04-05T05:26:24Z
-97.65592031895143,31.050407665988917,2024-04-05T05:26:25Z
-97.65585757813342,31.050586304123645,2024-04-05T05:26:26Z
-97.65579535134928,31.050764344322456,2024-04-05T05:26:27Z
-97.65573437919467,31.050938612060392,2024-04-05T05:26:28Z
-97.65567410721673,31.051111011151878,2024-04-05T05:26:29Z
-97.65561431139926,31.051281732058435,2024-04-05T05:26:30Z
-97.65555467742678,31.051450967484268,2024-04-05T05:26:31Z
-97.65549563500083,31.051618892567408,2024-04-05T05:26:32Z
-97.65543630019205,31.05178666529062,2024-04-05T05:26:33Z
-97.65537663416112,31.051954207087093,2024-04-05T05:26:34Z
-97.6553168758309,31.052121204806294,2024-04-05T05:26:35Z
-97.65525678879509,31.052287312559457,2024-04-05T05:26:36Z
-97.65519702320525,31.05245280572291,2024-04-05T05:26:37Z
-97.65513864702811,31.05261717405604,2024-04-05T05:26:38Z
-97.65508138050512,31.0527766130861,2024-04-05T05:26:39Z
-97.655027182736,31.05292922427432,2024-04-05T05:26:40Z
-97.65497491139249,31.05308046940082,2024-04-05T05:26:41Z
-97.65492316726629,31.05323639152533,2024-04-05T05:26:42Z
-97.65487445414479,31.05339651420829,2024-04-05T05:26:43Z
-97.65483292422172,31.053557295547748,2024-04-05T05:26:44Z
-97.65479271500813,31.053720162452997,2024-04-05T05:26:45Z
-97.6547555638503,31.05388407846927,2024-04-05T05:26:46Z
-97.65472101142059,31.05404864070524,2024-04-05T05:26:47Z
-97.65468595392547,31.054212634068726,2024-04-05T05:26:48Z
-97.65464915313933,31.054372577265998,2024-04-05T05:26:49Z
-97.65460781511433,31.05453004035937,2024-04-05T05:26:50Z
-97.65456312540994,31.054686210591058,2024-04-05T05:26:51Z
-97.65451979394588,31.054839588438984,2024-04-05T05:26:52Z
-97.65447912038661,31.054990261486882,2024-04-05T05:26:53Z
-97.65443812779641,31.055136408802035,2024-04-05T05:26:54Z
-97.654393325363,31.055277208915584,2024-04-05T05:26:55Z
-97.65434895534568,31.055411315431375,2024-04-05T05:26:56Z
-97.65430670435632,31.05553771433306,2024-04-05T05:26:57Z
-97.65426602107513,31.05565435894204,2024-04-05T05:26:58Z
-97.654227252682,31.055757207776864,2024-04-05T05:26:59Z
-97.6541931147595,31.05584678751995,2024-04-05T05:27:00Z
-97.6541668687788,31.05591516666093,2024-04-05T05:27:01Z
-97.65415151929626,31.055955533716755,2024-04-05T05:27:02Z
-97.65414327201603,31.055975745644897,2024-04-05T05:27:03Z
-97.65413373059845,31.05599850000307,2024-04-05T05:27:05Z
-97.65412214615253,31.056018375250684,2024-04-05T05:27:07Z
-97.65410372917343,31.05604120046318,2024-04-05T05:27:08Z
-97.6540691352406,31.05607560237598,2024-04-05T05:27:09Z
-97.65406910826434,31.056120923434122,2024-04-05T05:27:10Z
-97.65394342884356,31.05611998882358,2024-04-05T05:27:11Z
-97.65386655347817,31.05611547597155,2024-04-05T05:27:12Z
-97.65379596149073,31.056097873796467,2024-04-05T05:27:13Z
-97.65372011217393,31.05607655477565,2024-04-05T05:27:14Z
-97.65363156929442,31.056049858384416,2024-04-05T05:27:15Z
-97.65352844466425,31.056018730761508,2024-04-05T05:27:16Z
-97.65341227121083,31.055982356698703,2024-04-05T05:27:17Z
-97.65328255301112,31.05594297946201,2024-04-05T05:27:18Z
-97.65313955258448,31.055899678758347,2024-04-05T05:27:19Z
-97.65298180462834,31.055853164623937,2024-04-05T05:27:20Z
-97.65281643576513,31.05580384163448,2024-04-05T05:27:21Z
-97.65265448891093,31.055755053119192,2024-04-05T05:27:22Z
-97.65249431509933,31.055708268972914,2024-04-05T05:27:23Z
-97.65232892198536,31.05565836311173,2024-04-05T05:27:24Z
-97.65215551850883,31.055606753065245,2024-04-05T05:27:25Z
-97.65197496228596,31.05555605028805,2024-04-05T05:27:26Z
-97.65179200415763,31.05550308332105,2024-04-05T05:27:27Z
-97.65160517793353,31.055448788160927,2024-04-05T05:27:28Z
-97.65141437494908,31.055392921117033,2024-04-05T05:27:29Z
-97.65121874192765,31.05533605331562,2024-04-05T05:27:30Z
-97.65102028107172,31.055278622874372,2024-04-05T05:27:31Z
-97.65081749103639,31.055219251784262,2024-04-05T05:27:32Z
-97.65061371085385,31.055158789775902,2024-04-05T05:27:33Z
-97.65041155967509,31.055101258371934,2024-04-05T05:27:34Z
-97.65020929982519,31.055040126427997,2024-04-05T05:27:35Z
-97.65000767903886,31.054980186191568,2024-04-05T05:27:36Z
-97.64980701907419,31.054920525503746,2024-04-05T05:27:37Z
-97.64960795809934,31.0548609583588,2024-04-05T05:27:38Z
-97.64940971900336,31.05480025748258,2024-04-05T05:27:39Z
-97.64921473912533,31.054731883352105,2024-04-05T05:27:40Z
-97.64902464379325,31.054652128417473,2024-04-05T05:27:41Z
-97.64884226613803,31.054564697930672,2024-04-05T05:27:42Z
-97.64866469557955,31.054468672234776,2024-04-05T05:27:43Z
-97.64849297537253,31.054365027787433,2024-04-05T05:27:44Z
-97.64832771171545,31.0542545084495,2024-04-05T05:27:45Z
-97.6481699719593,31.054137083370875,2024-04-05T05:27:46Z
-97.64802058994192,31.05401267489496,2024-04-05T05:27:47Z
-97.64787749356488,31.053885558074555,2024-04-05T05:27:48Z
-97.64773663688307,31.053761338712135,2024-04-05T05:27:49Z
-97.64759789000583,31.05364038257074,2024-04-05T05:27:50Z
-97.64746179933478,31.053522237582133,2024-04-05T05:27:51Z
-97.64732822425448,31.05340570158986,2024-04-05T05:27:52Z
-97.64719728778195,31.053293260046715,2024-04-05T05:27:53Z
-97.6470671088583,31.053185308934847,2024-04-05T05:27:54Z
-97.64693591809225,31.053082813192372,2024-04-05T05:27:55Z
-97.64680240151868,31.052989958344465,2024-04-05T05:27:56Z
-97.64666672685885,31.052908341881285,2024-04-05T05:27:57Z
-97.6465356187056,31.052833243082894,2024-04-05T05:27:58Z
-97.64641912495846,31.052758585774235,2024-04-05T05:27:59Z
-97.64632508808012,31.052670058005468,2024-04-05T05:28:00Z
-97.64626705025877,31.052567775215987,2024-04-05T05:28:01Z
-97.64625375674923,31.052459588495875,2024-04-05T05:28:02Z
-97.64626539737348,31.052349821123418,2024-04-05T05:28:03Z
-97.64630109103048,31.05224031559549,2024-04-05T05:28:04Z
-97.64635210145707,31.05212873561234,2024-04-05T05:28:05Z
-97.64640706883057,31.05201437303355,2024-04-05T05:28:06Z
-97.64646534079887,31.051893813645727,2024-04-05T05:28:07Z
-97.64652743781444,31.051768197392555,2024-04-05T05:28:08Z
-97.64658911138308,31.05163800785686,2024-04-05T05:28:09Z
-97.64665354543193,31.051502280439966,2024-04-05T05:28:10Z
-97.64672021141912,31.051362236390002,2024-04-05T05:28:11Z
-97.64678958998066,31.051218486342034,2024-04-05T05:28:12Z
-97.64686009122933,31.05107267030442,2024-04-05T05:28:13Z
-97.64693264591206,31.05092697874273,2024-04-05T05:28:14Z
-97.64700447668221,31.050782298259357,2024-04-05T05:28:15Z
-97.64707395361472,31.05063869277106,2024-04-05T05:28:16Z
-97.64714357733766,31.050496662693597,2024-04-05T05:28:17Z
-97.64721202462876,31.050356228171363,2024-04-05T05:28:18Z
-97.64727979871307,31.050218381779686,2024-04-05T05:28:19Z
-97.64735054909396,31.05008129357075,2024-04-05T05:28:20Z
-97.64742284183947,31.04994446196869,2024-04-05T05:28:21Z
-97.64749725928422,31.049808956963048,2024-04-05T05:28:22Z
-97.64757631459327,31.04967678290536,2024-04-05T05:28:23Z
-97.64766014953568,31.049547121332512,2024-04-05T05:28:24Z
-97.64774950837047,31.049420386467443,2024-04-05T05:28:25Z
